Year,Month,Rate
2009,11,0.00716199999999999
2009,10,0.007375
2009,9,0.007721
2009,8,0.008605
2009,7,0.00975
2009,6,0.012279
2009,5,0.012817
2009,4,0.014223
2009,3,0.0163549999999999
2009,2,0.01943
2009,1,0.024565
2008,12,0.032926
2008,11,0.042383
2008,10,0.051131
2008,9,0.0501919999999999
2008,8,0.049652
2008,7,0.04961
2008,6,0.049405
2008,5,0.048574
2008,4,0.047835
2008,3,0.045964
2008,2,0.043621
2008,1,0.044816
2007,12,0.048484
2007,11,0.046386
2007,10,0.046874
2007,9,0.047417
2007,8,0.045436
2007,7,0.042162
2007,6,0.041478
2007,5,0.040714
2007,4,0.039753
2007,3,0.038909
2007,2,0.038182
2007,1,0.037519
2006,12,0.036842
2006,11,0.035972
2006,10,0.0350199999999999
2006,9,0.033354
2006,8,0.032265
2006,7,0.0310219999999999
2006,6,0.029857
2006,5,0.02889
2006,4,0.027938
2006,3,0.027226
2006,2,0.026004
2006,1,0.0251169999999999
2005,12,0.024729
2005,11,0.023609
2005,10,0.021966
2005,9,0.021391
2005,8,0.0213249999999999
2005,7,0.021194
2005,6,0.021111
2005,5,0.021256
2005,4,0.021372
2005,3,0.021372
2005,2,0.021383
2005,1,0.021454
2004,12,0.021732
2004,11,0.021703
2004,10,0.021473
2004,9,0.0211859999999999
2004,8,0.021143
2004,7,0.02116
2004,6,0.0211269999999999
2004,5,0.020859
2004,4,0.020488
2004,3,0.020288
2004,2,0.020705
2004,1,0.020895
2003,12,0.021463
2003,11,0.021591
2003,10,0.021436
2003,9,0.021473
2003,8,0.021404
2003,7,0.0213
2003,6,0.021519
2003,5,0.024005
2003,4,0.025333
2003,3,0.025299
2003,2,0.026875
2003,1,0.028318
2002,12,0.029411
2002,11,0.0312409999999999
2002,10,0.0326129999999999
2002,9,0.033101
2002,8,0.033519
2002,7,0.0341
2002,6,0.03464
2002,5,0.034671
2002,4,0.0340689999999999
2002,3,0.033908
2002,2,0.033571
2002,1,0.033388
2001,12,0.033449
2001,11,0.033857
2001,10,0.0359989999999999
2001,9,0.0398289999999999
2001,8,0.043535
2001,7,0.044671
2001,6,0.044536
2001,5,0.046367
2001,4,0.04682
2001,3,0.0470859999999999
2001,2,0.0475579999999999
2001,1,0.047707
2000,12,0.049392
2000,11,0.050919
2000,10,0.050413
2000,9,0.048528
2000,8,0.047771
2000,7,0.045829
2000,6,0.0450169999999999
2000,5,0.04362
2000,4,0.039253
2000,3,0.0374699999999999
2000,2,0.035368
2000,1,0.033431
1999,12,0.034461
1999,11,0.034677
1999,10,0.033757
1999,9,0.027267
1999,8,0.026951
1999,7,0.026764
1999,6,0.026267
1999,5,0.025789
1999,4,0.026965
1999,3,0.030467
1999,2,0.030934
1999,1,0.031321
1998,12,0.0337
1998,11,0.0369
1998,10,0.0381
1998,9,0.0393
1998,8,0.0393
1998,7,0.0395
1998,6,0.0401999999999999
1998,5,0.0406
1998,4,0.0409
1998,3,0.0411
1998,2,0.0424
1998,1,0.0426
1997,12,0.0437
1997,11,0.0449
1997,10,0.0444
1997,9,0.0431
1997,8,0.0436
1997,7,0.043
1997,6,0.0429
1997,5,0.043
1997,4,0.0438999999999999
1997,3,0.045
1997,2,0.0443
1997,1,0.0438999999999999
1996,12,0.045
1996,11,0.0457
1996,10,0.0469
1996,9,0.0486
1996,8,0.0508
1996,7,0.0506
1996,6,0.0508
1996,5,0.0506
1996,4,0.0527
1996,3,0.055
1996,2,0.0558
1996,1,0.0581
1995,12,0.0632
1995,11,0.0645
1995,10,0.0675
1995,9,0.065
1995,8,0.0666
1995,7,0.0692
1995,6,0.0708
1995,5,0.0704
1995,4,0.0729
1995,3,0.0758
1995,2,0.0659
1995,1,0.0666
1994,12,0.0669
1994,11,0.064
1994,10,0.0643
1994,9,0.0638
1994,8,0.0643
1994,7,0.0634
1994,6,0.063
1994,5,0.0624
1994,4,0.0657
1994,3,0.0675
1994,2,0.0686
1994,1,0.0691
